Simulation Time,Sender,Packet Type,Number of Vehicles
9.140425794269,node[3],bsm,9
9.143884148146,node[2],bsm,9
9.152683912776,node[0],bsm,9
9.163327301783,node[4],bsm,9
9.175352104963,node[6],bsm,9
9.201898016571,node[1],bsm,9
9.222355413251,node[7],bsm,9
9.227656027861,node[8],bsm,9
9.2332562892,node[5],bsm,9
9.240425794269,node[3],bsm,9
9.243884148146,node[2],bsm,9
9.252683912776,node[0],bsm,9
9.263327301783,node[4],bsm,9
9.275352104963,node[6],bsm,9
9.301898016571,node[1],bsm,9
9.322355413251,node[7],bsm,9
9.327656027861,node[8],bsm,9
9.3332562892,node[5],bsm,9
9.340425794269,node[3],bsm,9
9.343884148146,node[2],bsm,9
9.352683912776,node[0],bsm,9
9.363327301783,node[4],bsm,9
9.375352104963,node[6],bsm,9
9.401898016571,node[1],bsm,9
9.422355413251,node[7],bsm,9
9.427656027861,node[8],bsm,9
9.4332562892,node[5],bsm,9
9.440425794269,node[3],bsm,9
9.443884148146,node[2],bsm,9
9.452683912776,node[0],bsm,9
9.463327301783,node[4],bsm,9
9.475352104963,node[6],bsm,9
9.501898016571,node[1],bsm,9
9.522355413251,node[7],bsm,9
9.527656027861,node[8],bsm,9
9.5332562892,node[5],bsm,9
9.540425794269,node[3],bsm,9
9.543884148146,node[2],bsm,9
9.552683912776,node[0],bsm,9
9.563327301783,node[4],bsm,9
9.575352104963,node[6],bsm,9
9.601898016571,node[1],bsm,9
9.622355413251,node[7],bsm,9
9.627656027861,node[8],bsm,9
9.6332562892,node[5],bsm,9
9.640425794269,node[3],bsm,9
9.643884148146,node[2],bsm,9
9.652683912776,node[0],bsm,9
9.663327301783,node[4],bsm,9
9.675352104963,node[6],bsm,9
9.701898016571,node[1],bsm,9
9.722355413251,node[7],bsm,9
9.727656027861,node[8],bsm,9
9.7332562892,node[5],bsm,9
9.740425794269,node[3],bsm,9
9.743884148146,node[2],bsm,9
9.752683912776,node[0],bsm,9
9.763327301783,node[4],bsm,9
9.775352104963,node[6],bsm,9
9.801898016571,node[1],bsm,9
9.822355413251,node[7],bsm,9
9.827656027861,node[8],bsm,9
9.8332562892,node[5],bsm,9
9.840425794269,node[3],bsm,9
9.843884148146,node[2],bsm,9
9.852683912776,node[0],bsm,9
9.863327301783,node[4],bsm,9
9.875352104963,node[6],bsm,9
9.901898016571,node[1],bsm,9
9.922355413251,node[7],bsm,9
9.927656027861,node[8],bsm,9
9.9332562892,node[5],bsm,9
9.940425794269,node[3],bsm,9
9.943884148146,node[2],bsm,9
9.952683912776,node[0],bsm,9
9.963327301783,node[4],bsm,9
9.975352104963,node[6],bsm,9
10.001898016571,node[1],bsm,9
10.022355413251,node[7],bsm,9
